config,config_name,problem,size,plan_length,nodes_expanded,memory_mb,runtime_s,success,timeout
iterated_wastar,Iterated Weighted A*,exp-2x2.pddl,2,10.0,48.0,10.1171875,0.536205530166626,True,False
iterated_wastar,Iterated Weighted A*,exp-3x3.pddl,3,23.0,144.0,11.2109375,0.8236441612243652,True,False
iterated_wastar,Iterated Weighted A*,exp-4x4.pddl,4,42.0,432.0,10.1171875,0.5754306316375732,True,False
iterated_wastar,Iterated Weighted A*,exp-5x5.pddl,5,89.0,2405.0,10.7734375,0.7503602504730225,True,False
iterated_wastar,Iterated Weighted A*,exp-6x6.pddl,6,120.0,3525.0,11.79296875,0.9925482273101807,True,False
iterated_wastar,Iterated Weighted A*,exp-7x7.pddl,7,177.0,19345.0,13.984375,1.6091117858886719,True,False
iterated_wastar,Iterated Weighted A*,exp-8x8.pddl,8,,,,60.04073762893677,False,True
iterated_wastar,Iterated Weighted A*,exp-9x9.pddl,9,,,,60.011321783065796,False,True
restart_wastar,Restarting Weighted A*,exp-2x2.pddl,2,,,9.984375,0.5337061882019043,False,False
restart_wastar,Restarting Weighted A*,exp-3x3.pddl,3,,,9.984375,0.5480506420135498,False,False
restart_wastar,Restarting Weighted A*,exp-4x4.pddl,4,,,9.984375,0.6167764663696289,False,False
restart_wastar,Restarting Weighted A*,exp-5x5.pddl,5,,,9.984375,0.5638353824615479,False,False
restart_wastar,Restarting Weighted A*,exp-6x6.pddl,6,,,10.11328125,0.5980391502380371,False,False
restart_wastar,Restarting Weighted A*,exp-7x7.pddl,7,,,10.11328125,0.6368629932403564,False,False
restart_wastar,Restarting Weighted A*,exp-8x8.pddl,8,,,10.11328125,0.617405891418457,False,False
restart_wastar,Restarting Weighted A*,exp-9x9.pddl,9,,,10.11328125,0.6677932739257812,False,False
